Title,Author,Citation,PMID,Free Access,Abstract
"
              
                Improving Access to Automated External Defibrillators in Rural and Remote Settings: A Drone Delivery Feasibility Study.
              
            ","Cheskes S, McLeod SL, Nolan M, Snobelen P, Vaillancourt C, Brooks SC, Dainty KN, Chan TCY, Drennan IR.",<built-in method split of str object at 0x000001D3E37396B0>,32627636,Yes,"
              In simulations 3 and 4, the drone and ambulance were dispatched from separate paramedic bases; and in simulations 5 and 6, the drone was dispatched from an optimized location. ...No difficulties were encountered during drone activation by dispatch, ascent, la …
            "
"
              
                A new truck-drone routing problem for parcel delivery by considering energy consumption and altitude.
              
            ","Momeni M, Mirzapour Al-E-Hashem SMJ, Heidari A.",<built-in method split of str object at 0x000001D3E36A5A30>,37361075,Yes,"
              In the meantime, the delivery of postal packages through the balconies and windows of the units on the upper floors of the buildings will gradually become inevitable. Hence, a new Vehicle Routing Problem with Drone mathematical model has been developed with the objective o …
            "
"
              
                Spatial Ecology of Estuarine Crocodile (Crocodylus porosus) Nesting in a Fragmented Landscape.
              
            ","Evans LJ, Jones TH, Pang K, Saimin S, Goossens B.",<built-in method split of str object at 0x000001D3E3967870>,27657065,Yes,"
              Crocodilians, as apex predators, widely distributed throughout the tropics, are ideal indicator species for ecosystem health. Drones (or unmanned aerial vehicles (UAVs)) were used to identify crocodile nests in a fragmented landscape. ...As well as being more …
            "
"
Unmanned aerial vehicles (drones) to prevent drowning.
              
            ","Seguin C, Blaquière G, Loundou A, Michelet P, Markarian T.",<built-in method split of str object at 0x000001D3E2FBB510>,29653153,No,"
              Reducing the time taken to provide a flotation device and prevent submersion appears of paramount importance. Unmanned aerial vehicles (UAVs) can provide the location of the swimmer and a flotation device. ...
            "
"
              
                Unsuccessful attacks dominate a drone-preying wasp's hunting performance near stingless bee nests.
              
            ","Koedam D, Slaa EJ, Biesmeijer JC, Nogueira-Neto P.",<built-in method split of str object at 0x000001D3E3965200>,19554768,Yes,"
              Bee males (drones) of stingless bees tend to congregate near entrances of conspecific nests, where they wait for virgin queens that initiate their nuptial flight. ...
            "
"
              
                Breeding system and bumblebee drone pollination of an explosively pollen-releasing plant, Meliosma tenuis (Sabiaceae).
              
            ","Wong Sato AA, Kato M.",<built-in method split of str object at 0x000001D3E44EBBB0>,29394530,No,"
              Artificial pollination treatments revealed that M. tenuis is allogamous. The dominant flower visitors were nectar-seeking drones of the bumblebee species Bombus ardens (Apidae). The drones' behaviour, pollen attachment on their bodies and fruit set of visit-restrict …
            "
"
              
                Modeling the Influence of Mites on Honey Bee Populations.
              
            ","Torres DJ, Torres NA.",<built-in method split of str object at 0x000001D3E2EF85E0>,32967324,Yes,"
              The model shows that colony survival is sensitive to the hive grooming rate and reproductive rate of mites, which is enhanced in drone capped cells....
            "
"
              
                Variation in cownose ray Rhinoptera neglecta abundance and group size on the central east coast of Australia.
              
            ","Tagliafico A, Butcher PA, Colefax AP, Clark GF, Kelaher BP.",<built-in method split of str object at 0x000001D3E36A5730>,31769026,No,"
              Here, we provide baseline information about the relative abundance and group size of the Australian cownose ray Rhinoptera neglecta on the central east coast of Australia. Using drone monitoring over 2 years, we completed 293 transects, each 2 km in length, at four locatio …
            "
"
              
                The drone ambulance [A-UAS]: golden bullet or just a blank?
              
            ","Van de Voorde P, Gautama S, Momont A, Ionescu CM, De Paepe P, Fraeyman N.",<built-in method split of str object at 0x000001D3E2FB8810>,28487253,No,"
              Emergency Medical Services often have a too long mean response time and many issues surround Public Access Defibrillation programs. In this article we argument that AED-equipped drones could be the 'magic bullet'. They are easily deployed and fast, and have a relatively lo …
            "
"
              
                A comparison of drone imagery and ground-based methods for estimating the extent of habitat destruction by lesser snow geese (Anser caerulescens caerulescens) in La Perouse Bay.
              
            ","Barnas AF, Darby BJ, Vandeberg GS, Rockwell RF, Ellis-Felege SN.",<built-in method split of str object at 0x000001D3E3420CF0>,31398201,Yes,"
              We found large time savings during the data collection step of drone surveys, but these savings were ultimately lost during imagery processing. Based on photointerpretation, overall accuracy of drone imagery was generally high (88.8% to 92.0%) and Kappa coefficients …
            "
"
              
                Patterns of inheritance with RAPD molecular markers reveal novel types of polymorphism in the honey bee.
              
            ","Hunt GJ, Page RE Jr.",<built-in method split of str object at 0x000001D3E4281770>,24197223,No,"
              Thirteen of these primers were used to determine the inheritance of RAPD marker alleles in the resulting progeny and in haploid drones from a daughter queen. Four types of polymorphisms were observed. ...Polymorphisms for fragment-length were also observed. These segregate …
            "
"
              
                Application of Convolutional Neural Network (CNN) to Recognize Ship Structures.
              
            ","Lim JJ, Kim DW, Hong WH, Kim M, Lee DH, Kim SY, Jeong JH.",<built-in method split of str object at 0x000001D3E36A6530>,35632233,Yes,"
              The purpose of this paper is to study the recognition of ships and their structures to improve the safety of drone operations engaged in shore-to-ship drone delivery service. ...There will also be a description of the experiment and performance. In addition, this st …
            "
"
              
                Some of Problems of Direction Finding of Ground-Based Radars Using Monopulse Location System Installed on Unmanned Aerial Vehicle.
              
            ","Rutkowski A, Kawalec A.",<built-in method split of str object at 0x000001D3E44EAA30>,32932950,Yes,"
              The efficiency of the direction finding (DF) of ground-based radars and other microwave emitters using unmanned aerial vehicles (UAV) is dependent on the parameters of applied devices for angle location of microwave emitters, and on the construction and modes …
            "
"
              
                Response of colonial Peruvian guano birds to flying UAVs: effects and feasibility for implementing new population monitoring methods.
              
            ","Irigoin-Lovera C, Luna DM, Acosta DA, Zavalaga CB.",<built-in method split of str object at 0x000001D3E36A6230>,31844569,Yes,"
              BACKGROUND: Drones are reliable tools for estimating colonial seabird numbers. ...Drone noise at specific altitudes was recorded with a sound meter close to the colony to discriminate visual from auditory effects of the drone. ...
            "
"
              
                On Coverage of Critical Nodes in UAV-Assisted Emergency Networks.
              
            ","Waheed M, Ahmad R, Ahmed W, Mahtab Alam M, Magarini M.",<built-in method split of str object at 0x000001D3E3AB5B30>,36772624,Yes,"
Unmanned aerial vehicle (UAV)-assisted networks ensure agile and flexible solutions based on the inherent attributes of mobility and altitude adaptation. ...In addition to providing coverage to critical nodes, the proposed scheme also ensures maximum coverage for al …
            "
"
              
                Air pollution forecasting based on wireless communications: review.
              
            ","Fadhil MJ, Gharghan SK, Saeed TR.",<built-in method split of str object at 0x000001D3E45D54D0>,37670163,No,"
              In addition, this work highlights the challenges and limitations facing drones during their mission for detecting air pollution. As a result, we suggest to build and implement at base station an intelligent system based on backpropagation (BP) neural networks, which provid …
            "
"
              
                An Evaluation of the Factors Affecting 'Poacher' Detection with Drones and the Efficacy of Machine-Learning for Detection.
              
            ","Doull KE, Chalmers C, Fergus P, Longmore S, Piel AK, Wich SA.",<built-in method split of str object at 0x000001D3E3AB5D30>,34199208,Yes,"
Drones are being increasingly used in conservation to tackle the illegal poaching of animals. An important aspect of using drones for this purpose is establishing the technological and the environmental factors that increase the chances of success when detecting poa …
            "
"
              
                Risk Assessment for the Use of Drones in Warehouse Operations in the First Phase of Introducing the Service to the Market.
              
            ","Tubis AA, Ryczyński J, Żurek A.",<built-in method split of str object at 0x000001D3E246D070>,34695924,Yes,"
              Thanks to this, the proposed approach considers the current knowledge in studies and practical experiences related to the implementation of drones in warehouse operations. The proposed methodology was verified on the example of the selected service for drones in the …
            "
"
              
                Varroa destructor induces changes in the expression of immunity-related genes during the development of Apis mellifera worker and drone broods.
              
            ","Zaobidna EA, Żółtowska K, Łopieńska-Biernat E.",<built-in method split of str object at 0x000001D3E23B3480>,29035869,No,"
              The aim of this study was to analyze the immune responses of 14 genes in the Toll signal transduction pathways, including effector genes of antimicrobial peptides (AMPs), in developing Apis mellifera workers and drones infested with V. destructor. Four developmental stages …
            "
"
              
                Clutter Cancellation Methods for Small Target Detection Using High-Resolution W-band Radar.
              
            ","Hwang W, Jang H, Choi M.",<built-in method split of str object at 0x000001D3E44EBE50>,37688013,Yes,"
Drones are currently being used for various applications. However, the detection of drones for defense or security purposes has become problematic because of the use of plastic materials and the small size of these drones. Any drone can be placed under …
            "
"
              
                Allocating epidemic response teams and vaccine deliveries by drone in generic network structures, according to expected prevented exposures.
              
            ","Matter D, Potgieter L.",<built-in method split of str object at 0x000001D3E3967A50>,33667263,Yes,"
              To provide guidance towards improved epidemic response, various resource allocation models, in conjunction with a network-based SEIRVD epidemic model, are proposed in this article. Further, the feasibility of using drones for vaccine delivery is evaluated, and assorted rel …
            "
"
              
                Coverage path planning for spraying drones.
              
            ","Vazquez-Carmona EV, Vasquez-Gomez JI, Herrera-Lozada JC, Antonio-Cruz M.",<built-in method split of str object at 0x000001D3E335ED50>,35370350,Yes,"
              To contribute in this direction, this paper proposes a coverage path planning method for a spraying drone, an unmanned aerial vehicle that has mounted a sprayer/sprinkler system, that can disinfect areas. ...
            "
"
              
                Nutritional Composition of Honey Bee Drones of Two Subspecies Relative to Their Pupal Developmental Stages.
              
            ","Ghosh S, Herren P, Meyer-Rochow VB, Jung C.",<built-in method split of str object at 0x000001D3E41508F0>,34442325,Yes,"
              ., amino acids, fatty acids and minerals of different developmental stages of drones of two honey bee subspecies, namely Apis mellifera carnica and A. m. mellifera. ...Provided standard production protocols maintaining hygiene and safety will be adhered to, we propose that …
            "
"
              
                Vertical-transmission routes for deformed wing virus of honeybees (Apis mellifera).
              
            ","Yue C, Schröder M, Gisder S, Genersch E.",<built-in method split of str object at 0x000001D3E45D5A70>,17622639,No,"
              In conclusion, vertical transmission of DWV from queens and drones to drone and worker offspring through unfertilized and fertilized eggs, respectively, was demonstrated. Viral sequences in fertilized eggs can originate from the queen, as well as from drones …
            "
"
              
                Edge Cooling of a Fuel Cell during Aerial Missions by Ambient Air.
              
            ","Zakhvatkin L, Schechter A, Buri E, Avrahami I.",<built-in method split of str object at 0x000001D3E3AB6730>,34832843,Yes,"
              During aerial missions of fuel-cell (FC) powered drones, the option of FC edge cooling may improve FC performance and durability. Here we describe an edge cooling approach for fixed-wing FC-powered drones by removing FC heat using the ambient air during fligh …
            "
"
              
                The Effect of Comb Cell Size on the Development of Apis mellifera Drones.
              
            ","Zhang L, Shao L, Raza MF, Han R, Li W.",<built-in method split of str object at 0x000001D3E4150730>,38398731,Yes,"
              Larger worker bees can be obtained by being raised in bigger cells. However, whether cell size has the same effect on drone development is still unknown. Here, using 3D-printed foundations, we observed the development of drones kept in comb cells of different sizes …
            "
"
              
                Sex-Biased Expression of Olfaction-Related Genes in the Antennae of Apis cerana (Hymenoptera: Apidae).
              
            ","Du H, Su W, Huang J, Ding G.",<built-in method split of str object at 0x000001D3E4150AB0>,36292656,Yes,"
              More olfaction-related genes have worker-biased expression than drone-biased expression, with 26 genes being highly expressed in workers' antennae and only 8 genes being highly expressed in drones' antennae (FPKM > 30). ...There were clear variations in the expre …
            "
"
              
                Autonomous multi-species environmental gas sensing using drone-based Fourier-transform infrared spectroscopy.
              
            ","Rutkauskas M, Asenov M, Ramamoorthy S, Reid DT.",<built-in method split of str object at 0x000001D3E45D5C50>,31045107,Yes,"
Unmanned aerial vehicles (UAVs)-or drones-present compelling new opportunities for airborne gas sensing in applications such as environmental monitoring, hazardous scene assessment, and facilities' inspection. ...Here, we report on the design and integration …
            "
"
              
                Scale Enhancement Pyramid Network for Small Object Detection from UAV Images.
              
            ","Sun J, Gao H, Wang X, Yu J.",<built-in method split of str object at 0x000001D3E4150C70>,36421553,Yes,"
              Object detection is challenging in large-scale images captured by unmanned aerial vehicles (UAVs), especially when detecting small objects with significant scale variation. ...
            "
"
              
                Multi-layer light trapping structures for enhanced solar collection.
              
            ","Alsaigh RE, Bauer R, Lavery MPJ.",<built-in method split of str object at 0x000001D3E4150490>,33115138,Yes,"
              Light trapping is a commonly used technique for enhancing the efficiency of solar collection in many photovoltaic (PV) devices. In this paper, we present the design of multi-layer light trapping structures that can potentially be retrofitted, or directly integrated, onto c …
            "
"
              
                In-Field Evaluation of Drone-Released Lacewings for Aphid Control in California Organic Lettuce.
              
            ","Del Pozo-Valdivia AI, Morgan E, Bennett C.",<built-in method split of str object at 0x000001D3E45D44E0>,34522973,No,"
              Our results could be interpreted as preliminary evidence that drone release of lacewings could reduce aphid densities (15.6-150.0 aphids/lettuce head) when compared to the untreated plots (32.1-257.9 aphids/lettuce head). ...Traditionally, the cost of labor has limited the …
            "
"
              
                Queen Caging and Oxalic Acid Treatment: Combined Effect on Vitellogenin Content and Enzyme Activities in the First Post-Treatment Workers and Drones, Apis mellifera L.
              
            ","Sagona S, Coppola F, Nanetti A, Cardaio I, Tafi E, Palego L, Betti L, Giannaccini G, Felicioli A.",<built-in method split of str object at 0x000001D3E335F470>,36428349,Yes,"
              This could cause issues of cuticular sclerotization, making a drone prone to bite injuries, dehydration, and pathogens. No differences in phenoloxidase activity were recorded in both post-treatment drones and workers generation. ...Further investigations on the pote …
            "
"
              
                Lab-on-a-Drone: Toward Pinpoint Deployment of Smartphone-Enabled Nucleic Acid-Based Diagnostics for Mobile Health Care.
              
            ","Priye A, Wong S, Bi Y, Carpio M, Chang J, Coen M, Cope D, Harris J, Johnson J, Keller A, Lim R, Lu S, Millard A, Pangelinan A, Patel N, Smith L, Chan K, Ugaz VM.",<built-in method split of str object at 0x000001D3E41E41A0>,26898247,Yes,"
              We introduce a portable biochemical analysis platform for rapid field deployment of nucleic acid-based diagnostics using consumer-class quadcopter drones. This approach exploits the ability to isothermally perform the polymerase chain reaction (PCR) with a single heater, e …
            "
"
              
                Comparison of pooled semen insemination and single colony insemination as sustainable honeybee breeding strategies.
              
            ","Du M, Bernstein R, Hoppe A.",<built-in method split of str object at 0x000001D3E45D63D0>,38298391,Yes,"
              Instrumental insemination of honeybees allows for two opposing breeding strategies. In single colony insemination (SCI), all drones to inseminate a queen are taken from one colony. In pooled semen insemination (PSI), sperm of many genetically diverse drones is mixed …
            "
"
              
                Detection of small targets in the infrared: an infrared search and track tutorial.
              
            ","Driggers R, Pollak E, Grimming R, Velazquez E, Short R, Holst G, Furxhi O.",<built-in method split of str object at 0x000001D3E45D64C0>,34143041,No,"
              From a commercial point of view, an important application is drone detection near live airport operations. As drones become more common, the dual-use functionality of IRST systems is expanding. ...
            "
"
              
                Deformed wing virus can be transmitted during natural mating in honey bees and infect the queens.
              
            ","Amiri E, Meixner MD, Kryger P.",<built-in method split of str object at 0x000001D3E4127C50>,27608961,Yes,"
              Two groups of either unmated queens (n = 8) with induced egg laying, or queens (n = 12) mated in isolation with drones showing comparatively low deformed wing virus infections served as control. None of the control queens exhibited high-level viral infections. Our results …
            "
"
              
                Bioinspired wingtip devices: a pathway to improve aerodynamic performance during low Reynolds number flight.
              
            ","Lynch M, Mandadzhiev B, Wissa A.",<built-in method split of str object at 0x000001D3E41510D0>,29388556,No,"
              Birds are highly capable and maneuverable fliers, traits not currently shared with current small unmanned aerial vehicles. They are able to achieve these flight capabilities by adapting the shape of their wings during flight in a variety of complex manners. ...Lift …
            "
"
              
                Dataset of 3D computer models of Late Miocene Mount Messenger Formation outcrops in New Zealand, built with UAV drones.
              
            ","Kamaruzaman EH, La Croix AD, Kamp PJJ.",<built-in method split of str object at 0x000001D3E3AB4A30>,38293575,Yes,"
              The aim of constructing 3D computer models of outcrops of the Mount Messenger Formation using unmanned aerial vehicle (UAV) drone technology was to enable better visualization and potential for analysis of deep-water sedimentary systems in Taranaki Basin, New …
            "
"
              
                An Ethical Framework for the Design, Development, Implementation, and Assessment of Drones Used in Public Healthcare.
              
            ","Cawthorne D, Robbins-van Wynsberghe A.",<built-in method split of str object at 0x000001D3E3899460>,32578062,Yes,"
              The use of drones in public healthcare is suggested as a means to improve efficiency under constrained resources and personnel. This paper begins by framing drones in healthcare as a social experiment where ethical guidelines are needed to protect those impacted whi …
            "
"
              
                Autonomous Toy Drone via Coresets for Pose Estimation.
              
            ","Nasser S, Jubran I, Feldman D.",<built-in method split of str object at 0x000001D3E44EBAD0>,32471199,Yes,"
"
"
              
                A bioinspired Separated Flow wing provides turbulence resilience and aerodynamic efficiency for miniature drones.
              
            ","Di Luca M, Mintchev S, Su Y, Shaw E, Breuer K.",<built-in method split of str object at 0x000001D3E44E8650>,33022594,No,"
              Small-scale drones have enough sensing and computing power to find use across a growing number of applications. ...The minimum cruise power of a custom-built 104-gram fixed-wing drone equipped with the Separated Flow wing was measured in the wind tunnel indicating a …
            "
"
              
                Carbon emissions reductions in last mile and grocery deliveries utilizing air and ground autonomous vehicles.
              
            ",Figliozzi MA.,<built-in method split of str object at 0x000001D3E3A27B30>,32834736,Yes,"
              This research focuses on the efficiency of autonomous (driverless) air and ground delivery vehicles in terms of vehicle-miles, energy consumption, and CO(2) emissions. Three types of autonomous vehicle are analyzed: drones or unmanned aerial vehicles (UAVs), …
            "
"
              
                Quantitative proteomics reveals divergent responses in Apis mellifera worker and drone pupae to parasitization by Varroa destructor.
              
            ","Surlis C, Carolan JC, Coffey M, Kavanagh K.",<built-in method split of str object at 0x000001D3E3A26030>,29273327,No,"
              To investigate this important host-parasite interaction and to determine whether Varroa causes different effects on different castes we conducted a label free quantitative proteomic analysis of Varroa-parasitized and non-parasitized drone and worker Apis mellifera pupae. 1 …
            "
"
              
                Large-aperture experimental characterization of the acoustic field generated by a hovering unmanned aerial vehicle.
              
            ","Callanan J, Iqbal R, Adlakha R, Behjat A, Chowdhury S, Nouh M.",<built-in method split of str object at 0x000001D3E39666A0>,34598621,No,"
Unmanned aerial vehicles, specifically quadrotor drones, are increasingly commonplace in community and workplace settings and are often used for photography, cinematography, and small parcel transport. ...This work presents an experimental quantification of t …
            "
"
              
                Honeybee-based biohybrid system for landmine detection.
              
            ","Filipi J, Stojnić V, Muštra M, Gillanders RN, Jovanović V, Gajić S, Turnbull GA, Babić Z, Kezić N, Risojević V.",<built-in method split of str object at 0x000001D3E2664090>,34500270,Yes,"
              Legacy landmines in post-conflict areas are a non-discriminatory lethal hazard and can still be triggered decades after the conflict has ended. Efforts to detect these explosive devices are expensive, time-consuming, and dangerous to humans and animals involved. ...
            "
"
              
                UTM-Chain: Blockchain-Based Secure Unmanned Traffic Management for Internet of Drones.
              
            ","Allouch A, Cheikhrouhou O, Koubâa A, Toumi K, Khalgui M, Nguyen Gia T.",<built-in method split of str object at 0x000001D3E2473090>,33925489,Yes,"
Unmanned aerial systems (UAVs) are dramatically evolving and promoting several civil applications. ...Security becomes even more challenging when they are connected to the Internet as their data stream is exposed to attacks. Unmanned traffic management (UTM) …
            "
"
              
                Fusion of Different Image Sources for Improved Monitoring of Agricultural Plots.
              
            ",Moltó E.,<built-in method split of str object at 0x000001D3E44E8C70>,36081101,Yes,"
              It uses images from the Sentinel 2 mission (low resolution, high spectral quality, high temporal resolution), orthophotos (high resolution, low temporal resolution) and images obtained with drones (very high spatial resolution, low temporal resolution). The procedure is ap …
            "
"
              
                Monitoring Colonies of Large Gulls Using UAVs: From Individuals to Breeding Pairs.
              
            ","Corregidor-Castro A, Riddervold M, Holm TE, Bregnballe T.",<built-in method split of str object at 0x000001D3E3EDC580>,36363865,Yes,"
              This study conducted two types of Uncrewed Aerial Vehicle (UAV) surveys in a big colony of multispecies breeding gulls. ...A fixed-wing UAV was used to photograph the entire island to compare drone counts with counts conducted by traditional methods, were we counted …
            "
"
              
                The role of epistatic interactions underpinning resistance to parasitic Varroa mites in haploid honey bee (Apis mellifera) drones.
              
            ","Conlon BH, Frey E, Rosenkranz P, Locke B, Moritz RFA, Routtu J.",<built-in method split of str object at 0x000001D3E3E7F660>,29577506,Yes,"
              Here, we use the interaction between A. mellifera and the parasitic mite Varroa destructor to test epistasis in the expression of resistance, through the inhibition of parasite reproduction, in haploid drones. We find novel loci on three chromosomes which explain over 45% …
            "
"
              
                Neonicotinoid insecticides can serve as inadvertent insect contraceptives.
              
            ","Straub L, Villamar-Bouza L, Bruckner S, Chantawannakul P, Gauthier L, Khongphinitbunjong K, Retschnig G, Troxler A, Vidondo B, Neumann P, Williams GR.",<built-in method split of str object at 0x000001D3E24BA3F0>,27466446,Yes,"
              Here, we show that two neonicotinoids (4.5 ppb thiamethoxam and 1.5 ppb clothianidin) significantly reduce the reproductive capacity of male honeybees (drones), Apis mellifera Drones were obtained from colonies exposed to the neonicotinoid insecticides or controls, …
            "
"
              
                Malicious UAV Detection Using Integrated Audio and Visual Features for Public Safety Applications.
              
            ","Jamil S, Fawad, Rahman M, Ullah A, Badnava S, Forsat M, Mirjavadi SS.",<built-in method split of str object at 0x000001D3E3E7F880>,32679644,Yes,"
Unmanned aerial vehicles (UAVs) have become popular in surveillance, security, and remote monitoring. However, they also pose serious security threats to public privacy. The timely detection of a malicious drone is currently an open research issue for securit …
            "
"
              
                Prediction of Antioxidant Activity of Cherry Fruits from UAS Multispectral Imagery Using Machine Learning.
              
            ","Karydas C, Iatrou M, Kouretas D, Patouna A, Iatrou G, Lazos N, Gewehr S, Tseni X, Tekos F, Zartaloudis Z, Mainos E, Mourelatos S.",<built-in method split of str object at 0x000001D3E352C180>,32075036,Yes,"
              Multispectral images from unmanned aerial vehicles were acquired on the same dates with fruit sampling. ...Provided that soil profiles and other ancillary data are known in advance of the cultivation season, capturing drone images in critical growth phases, t …
            "
"
              
                RF-Enabled Deep-Learning-Assisted Drone Detection and Identification: An End-to-End Approach.
              
            ","Alam SS, Chakma A, Rahman MH, Bin Mofidul R, Alam MM, Utama IBKY, Jang YM.",<built-in method split of str object at 0x000001D3E43148B0>,37177405,Yes,"
              The security and privacy risks posed by unmanned aerial vehicles (UAVs) have become a significant cause of concern in today's society. ...For the identification task, the model is evaluated for specific devices, as well as for the signature of the particular …
            "
"
              
                CETS: Enabling Sustainable IoT with Cooperative Energy Transfer Schedule towards 6G Era.
              
            ","Kovvali RSK, Sundaram G.",<built-in method split of str object at 0x000001D3E44EB590>,36081041,Yes,"
              However, because of their extended communication capabilities, IoE devices face energy limitations. As a result, IoE devices must be provided with the necessary energy resources. ...By combining these two phases, an optimized WET framework was created without unm …
            "
"
              
                Detection of Gas Drifting Near the Ground by Drone Hovering Over: Using Airflow Generated by Two Connected Quadcopters.
              
            ","Sato R, Tanaka K, Ishida H, Koguchi S, Ramos Ramirez JP, Matsukura H, Ishida H.",<built-in method split of str object at 0x000001D3E43147A0>,32143359,Yes,"
              This paper describes the utilization of the downwashes of multicopters for gas-sensing applications. Multirotor drones are an attractive platform for sensing applications. Their high maneuverability enables swift scanning of a target area with onboard sensors. ...
            "
"
              
                [Study on photographing experiment of infrared detector].
              
            ","Wang DJ, Zhang T.",<built-in method split of str object at 0x000001D3E24B3500>,21428103,No,"
              Finally, a genuine demo system is established in national supervision and test center for optics mechanics quality. 5.3, 6.4 and 9.2 mm drones are chosen for testing. Experimental results indicate that the obtained drone is vivid, and camera's resolution achieves 11 …
            "
"
              
                Development of an Acoustic System for UAV Detection.
              
            ","Dumitrescu C, Minea M, Costea IM, Cosmin Chiva I, Semenescu A.",<built-in method split of str object at 0x000001D3E3AB6C30>,32872231,Yes,"
              The purpose of this paper is to investigate the possibility of developing and using an intelligent, flexible, and reliable acoustic system, designed to discover, locate, and transmit the position of unmanned aerial vehicles (UAVs). Such an application is very useful …
            "
"
              
                A Psychoacoustic Approach to Building Knowledge about Human Response to Noise of Unmanned Aerial Vehicles.
              
            ","Torija AJ, Clark C.",<built-in method split of str object at 0x000001D3E36A5530>,33466937,Yes,"
              Several industry leaders and governmental agencies are currently investigating the use of Unmanned Aerial Vehicles (UAVs), or ""drones"" as commonly known, for an ever-growing number of applications-from blue light services to parcel delivery and urban mobility …
            "
"
              
                Operational and Financial Considerations of Using Drones for Medical Support of Mass Events in Poland.
              
            ","Robakowska M, Ślęzak D, Tyrańska-Fobke A, Nowak J, Robakowski P, Żuratyński P, Ładny J, Nadolny K.",<built-in method split of str object at 0x000001D3E20432B0>,30404675,No,"
              This study refers to the cost analysis of using drones in the medical support of mass events. The aim of this research is to analyze the costs of unmanned aerial vehicle (UAV) implementation in the mass event medical support system. ...RESULTS: This study is …
            "
"
              
                What Aimed Movement Models Fit Distal Pointing With Varying Depth?
              
            ","Wang Y, Goonetilleke RS, Lin RF.",<built-in method split of str object at 0x000001D3E2F27C30>,38166568,No,"
              OBJECTIVE: With the rapid improvements in drone technology, there is an increasing interest in distal pointing to diffuse drones. ...
            "
"
              
                Design of Size-Controlled Sulfur Nanoparticle Cathodes for Lithium-Sulfur Aviation Batteries.
              
            ","Liu J, Cheng C, Wang T, Zhu J, Li Z, Ao G, Zhu W, Pezzotti G, Zhu J.",<built-in method split of str object at 0x000001D3E36A5B30>,37162459,No,"
              In this paper, the application of lithium-sulfur batteries for powering drones by using the cathode of highly dispersed sulfur nanoparticles with well-controlled particle sizes have been realized. ...The assembled miniature pouch cell (PCmini) shows a discharge capacity of …
            "
"
              
                Leaf area index estimation model for UAV image hyperspectral data based on wavelength variable selection and machine learning methods.
              
            ","Zhang J, Cheng T, Guo W, Xu X, Qiao H, Xie Y, Ma X.",<built-in method split of str object at 0x000001D3E36A6030>,33941211,Yes,"
              BACKGROUND: To accurately estimate winter wheat leaf area index (LAI) using unmanned aerial vehicle (UAV) hyperspectral imagery is crucial for crop growth monitoring, fertilization management, and development of precision agriculture. METHODS: The UAV hyperspectral …
            "
"
              
                The promising future of drones in prehospital medical care and its application to battlefield medicine.
              
            ","Braun J, Gertz SD, Furer A, Bader T, Frenkel H, Chen J, Glassberg E, Nachman D.",<built-in method split of str object at 0x000001D3E335F930>,31246903,No,"
Unmanned aerial vehicles, commonly referred to as drones, have been made widely available in recent years leading to an exponential growth in their roles and applications. ...A thorough search was conducted using conventional medical literature databases and …
            "
"
              
                Formation of Fused Images of the Land Surface from Radar and Optical Images in Spatially Distributed On-Board Operational Monitoring Systems.
              
            ","Nenashev VA, Khanykov IG.",<built-in method split of str object at 0x000001D3E41503B0>,34940718,Yes,"
              The purpose of this research is to develop a new method for the formation of fused images of the land surface based on data obtained from optical and radar devices operated from two-position spatially distributed systems of small aircraft, including unmanned aeri …
            "
"
              
                Energy-Efficient UAV-Enabled MEC System: Bits Allocation Optimization and Trajectory Design.
              
            ","Li L, Wen X, Lu Z, Pan Q, Hu WJAZ.",<built-in method split of str object at 0x000001D3E4150110>,31627444,Yes,"
              The unmanned aerial vehicle (UAV) enabled mobile edge computing (MEC) system is attracting a lot of attentions for the potential of low latency and low transmission energy consumption, due to the advantages of high mobility and easy deployment. ...Firstly, the endur …
            "
"
              
                Enhancing object detection in aerial images.
              
            ","Pandey V, Anand K, Kalra A, Gupta A, Roy PP, Kim BG.",<built-in method split of str object at 0x000001D3E36A4D30>,35801450,Yes,"
Unmanned Aerial Vehicles have proven to be helpful in domains like defence and agriculture and will play a vital role in implementing smart cities in the upcoming years. ...Subsequently, we have used RetinaNet with adjusted anchor parameters instead of other convent …
            "
"
              
                Transcriptomic analysis of the honey bee (Apis mellifera) queen spermathecae reveals genes that may be involved in sperm storage after mating.
              
            ","Rangel J, Shepherd TF, Gonzalez AN, Hillhouse A, Konganti K, Ing NH.",<built-in method split of str object at 0x000001D3E2FB85D0>,33417615,Yes,"
              This study uniquely characterized and quantified the transcriptomes of the spermathecae from mated and virgin honey bee queens via RNA sequencing to identify differences in mRNA levels based on a queen's mating status. The transcriptome of drone semen was analyzed for comp …
            "
"
              
                Flexible Magnetic Polymer Composite Substrate with Ba(1.5)Sr(1.5)Z Hexaferrite Particles of VHF/Low UHF Patch Antennas for UAVs and Medical Implant Devices.
              
            ","Lee SE, Choi SP, Oh KS, Kim J, Lee SM, Cho KR.",<built-in method split of str object at 0x000001D3E4633A50>,32102415,Yes,"
              Our goal is to fabricate flexible magnetic polymer composites as antenna substrates for very high frequency (VHF)/low ultra high frequency (UHF) antennas for unmanned aerial vehicles (UAVs) and medical devices. Magnetodielectric materials, which have permeabi …
            "
