Title,Author,Citation,PMID,Free Access,Abstract,url_article
"
              
                A small number of male-biased candidate pheromone receptors are expressed in large subsets of the olfactory sensory neurons in the antennae of drones from the European honey bee Apis mellifera.
              
            ","Fleischer J, Rausch A, Dietze K, Erler S, Cassau S, Krieger J.",<built-in method split of str object at 0x000001C406031B30>,34346151,No,"
              Detailed analyses for OR11 and OR18 in drone antennae revealed expression in two distinct subsets of olfactory sensory neurons (OSNs) that in total account for approximately 69% of the OR-positive cells. ...Collectively, our findings indicate remarkable similarities betwee …
            ",https://pubmed.ncbi.nlm.nih.gov/34346151/
"
              
                Gunshot Airborne Surveillance with Rotary Wing UAV-Embedded Microphone Array.
              
            ","Serrenho FG, Apolinário JA Jr, Ramos ALL, Fernandes RP.",<built-in method split of str object at 0x000001C4053058A0>,31581585,Yes,"
Unmanned aerial vehicles (UAV) are growing in popularity, and recent technological advances are fostering the development of new applications for these devices. This paper discusses the use of aerial drones as a platform for deploying a gunshot …
            ",https://pubmed.ncbi.nlm.nih.gov/31581585/
"
              
                A hierarchical model for strategic and operational planning in blood transportation with drones.
              
            ","Amirsahami A, Barzinpour F, Pishvaee MS.",<built-in method split of str object at 0x000001C406031930>,37708186,Yes,"
              The findings and analysis of this implementation suggest that it is beneficial to set up drone stations in cost-effective and central locations to avoid costly network design. Furthermore, utilizing the minimum number of feasible drones enhances operational time and …
            ",https://pubmed.ncbi.nlm.nih.gov/37708186/
"
              
                A Light-Weight Network for Small Insulator and Defect Detection Using UAV Imaging Based on Improved YOLOv5.
              
            ","Zhang T, Zhang Y, Xin M, Liao J, Xie Q.",<built-in method split of str object at 0x000001C4073A5B60>,37299976,Yes,"
              In this network, we introduced the Ghost module into the YOLOv5 backbone and neck to reduce the parameters and model size to enhance the performance of unmanned aerial vehicles (UAVs). Besides, we added small object detection anchors and layers for small defect dete …
            ",https://pubmed.ncbi.nlm.nih.gov/37299976/
"
              
                Can drones save lives and money? An economic evaluation of airborne delivery of automated external defibrillators.
              
            ","Röper JWA, Fischer K, Baumgarten MC, Thies KC, Hahnenkamp K, Fleßa S.",<built-in method split of str object at 0x000001C4051DFD70>,36309919,Yes,"
              Consequently, many countries place Automated External Defibrillators (AED) in accessible public locations. However, these stationary devices are frequently not available out of hours or too far away in emergencies. An innovative approach to mustering AED is the use of u …
            ",https://pubmed.ncbi.nlm.nih.gov/36309919/
"
              
                UAV hyperspectral remote sensor images for mango plant disease and pest identification using MD-FCM and XCS-RBFNN.
              
            ","Pansy DL, Murali M.",<built-in method split of str object at 0x000001C406F7B4B0>,37650944,No,"
              The initial part in reducing losses sourced from plant diseases is to make an accurate and earlier identification. Thus, the usage of unmanned aerial vehicle (UAV) hyperspectral imaging (HSI) sensors for surveying and assessing crops, orchards, and forests has rapid …
            ",https://pubmed.ncbi.nlm.nih.gov/37650944/
"
              
                A Landscape Analysis to Understand Orientation of Honey Bee (Hymenoptera: Apidae) Drones in Puerto Rico.
              
            ","Galindo-Cardona A, Monmany AC, Diaz G, Giray T.",<built-in method split of str object at 0x000001C406030330>,26314058,No,"
              Worker (female) orientation has been studied more extensively than drone (male) orientation. Given the extensive and large flight range of drones as part of their reproductive biology, the study of drone orientation may provide new insight on landscape featur …
            ",https://pubmed.ncbi.nlm.nih.gov/26314058/
"
              
                Using tank-mix adjuvant improves the physicochemical properties and dosage delivery to reduce the use of pesticides in unmanned aerial vehicles for plant protection in wheat.
              
            ","Zhao R, Yu M, Sun Z, Li LJ, Shang HY, Xi WJ, Li B, Li YY, Xu Y, Wu XM.",<built-in method split of str object at 0x000001C406030430>,35318795,No,"
              BACKGROUND: Unmanned aerial vehicles (UAVs) are widely used to improve the efficiency of pesticide applications. ...
            ",https://pubmed.ncbi.nlm.nih.gov/35318795/
"
              
                Severe extremity amputations in surviving Palestinian civilians caused by explosives fired from drones during the Gaza War.
              
            ","Heszlein-Lossius H, Al-Borno Y, Shaqoura S, Skaik N, Giil LM, Gilbert M.",<built-in method split of str object at 0x000001C405305790>,29553412,No,"
              An unknown number of people had traumatic amputations of one or more extremities. Use of unmanned Israeli drones for surveillance and armed attacks on Gaza was evident, but exact figures on numbers of drone strikes on Gaza are not available. ...Drone-f …
            ",https://pubmed.ncbi.nlm.nih.gov/29553412/
"
              
                The impact of delivery by a fixed-wing, sling-launched unmanned aerial vehicle on the hematologic function of whole blood.
              
            ","Peltier GC, Meledeo MA.",<built-in method split of str object at 0x000001C406EB7510>,37246299,Yes,"
              BACKGROUND: Unmanned aerial vehicles (UAVs) have been shown to shorten delivery times of medical products in health care, providing a potential answer to the question of prehospital resuscitation where blood and blood products are not readily available. ...
            ",https://pubmed.ncbi.nlm.nih.gov/37246299/
"
              
                The Synergistic Effect of Topographic Factors and Vegetation Indices on the Underground Coal Mine Utilizing Unmanned Aerial Vehicle Remote Sensing.
              
            ","Li Q, Li F, Guo J, Guo L, Wang S, Zhang Y, Li M, Zhang C.",<built-in method split of str object at 0x000001C406EB7BD0>,36834465,Yes,"
              Understanding the synergistic effect between topography and vegetation in the underground coal mine is of great significance for the ecological restoration and sustainable development of mining areas. This paper took advantage of unmanned aerial vehicle (UAV) remote …
            ",https://pubmed.ncbi.nlm.nih.gov/36834465/
"
              
                Improving early infant diagnosis for HIV-exposed infants using unmanned aerial vehicles for blood sample transportation in Conakry, Guinea: a comparative cost-effectiveness analysis.
              
            ","Inghels M, Mee P, Diallo OH, Cissé M, Nelson D, Tanser F, Asghar Z, Koita Y, Laborde-Balen G, Breton G.",<built-in method split of str object at 0x000001C405183210>,37984898,Yes,"
              We investigated the cost-effectiveness of transporting EID blood samples by unmanned aerial vehicles (UAV), also known as drones. METHODS AND FINDINGS: Using Monte Carlo simulations, we conducted a cost-effectiveness comparative analysis between EID blood sam …
            ",https://pubmed.ncbi.nlm.nih.gov/37984898/
"
              
                Flying Ad Hoc Networks: A New Domain for Network Communications.
              
            ","Guillen-Perez A, Cano MD.",<built-in method split of str object at 0x000001C406F7B590>,30347892,Yes,"
              A common limitation that affects these three topics is the lack of studies evaluating the influence that the unmanned aerial vehicles (UAV) may have in the on-board/embedded communication devices, usually just assuming isotropic or omnidirectional radiation p …
            ",https://pubmed.ncbi.nlm.nih.gov/30347892/
"
              
                Power Allocation and Energy Cooperation for UAV-Enabled MmWave Networks: A Multi-Agent Deep Reinforcement Learning Approach.
              
            ",Domingo MC.,<built-in method split of str object at 0x000001C40601CD30>,35009812,Yes,"
Unmanned Aerial Vehicle (UAV)-assisted cellular networks over the millimeter-wave (mmWave) frequency band can meet the requirements of a high data rate and flexible coverage in next-generation communication networks. ...
            ",https://pubmed.ncbi.nlm.nih.gov/35009812/
"
              
                CFD-based pesticide selection for a nozzle used in a six-rotor UAV in hover mode for tea spraying.
              
            ","Dong SJ, Gui QH, Zhu L, Zou XR, Zhou WX, Hou RY, Moray PJ, Yin CL.",<built-in method split of str object at 0x000001C406032E30>,36680499,No,"
              BACKGROUND: A key challenge for unmanned aerial vehicle (UAV) spraying sometimes used in tea plantations is the downwash flow structure there stronger than in crops. ...
            ",https://pubmed.ncbi.nlm.nih.gov/36680499/
"
              
                Continuous and near real-time measurements of gaseous elemental mercury (GEM) from an Unmanned Aerial Vehicle: A new approach to investigate the 3D distribution of GEM in the lower atmosphere.
              
            ","Cabassi J, Lazzaroni M, Giannini L, Mariottini D, Nisi B, Rappuoli D, Vaselli O.",<built-in method split of str object at 0x000001C405CB45D0>,34653490,No,"
              We present the first real attempt to directly and continuously measure GEM through a Lumex RA-915 M, designed for real-time detection of mercury vapor, mounted on an UAV (Unmanned Aerial Vehicle, namely a heavy-lift octocopter), inside and outside the former Hg-mini …
            ",https://pubmed.ncbi.nlm.nih.gov/34653490/
"
              
                Secrecy Energy Efficiency Enhancement in UAV-Assisted MEC System.
              
            ","Miao J, Chen H, Li H, Bai S.",<built-in method split of str object at 0x000001C406F7B130>,36679520,Yes,"
              A secrecy energy efficiency optimization scheme for a multifunctional unmanned aerial vehicle (UAV) assisted mobile edge computing system is proposed to solve the computing power and security issues in the Internet-of-Things scenario. ...
            ",https://pubmed.ncbi.nlm.nih.gov/36679520/
"
              
                Monitoring post-fire neighborhood competition effects on pine saplings under different environmental conditions by means of UAV multispectral data and structure-from-motion photogrammetry.
              
            ","Fernández-Guisuraga JM, Calvo L, Suárez-Seoane S.",<built-in method split of str object at 0x000001C406EED6C0>,34954682,No,"
              In burned landscapes, the recruitment success of the tree dominant species mainly depends on plant competition mechanisms operating at fine spatial scale, that may hinder resource availability during the former years after the disturbance. Data acquisition at very high spatial re …
            ",https://pubmed.ncbi.nlm.nih.gov/34954682/
"
              
                Spray performance evaluation of a six-rotor unmanned aerial vehicle sprayer for pesticide application using an orchard operation mode in apple orchards.
              
            ","Wang C, Liu Y, Zhang Z, Han L, Li Y, Zhang H, Wongsuk S, Li Y, Wu X, He X.",<built-in method split of str object at 0x000001C4074B7330>,35306733,No,"
              BACKGROUND: In the last decade, unmanned aerial vehicle (UAV) sprayers have been growing rapidly worldwide as a new method for pesticide application, especially in Asian countries. ...
            ",https://pubmed.ncbi.nlm.nih.gov/35306733/
"
              
                Effects of tank-mix adjuvants on physicochemical properties and dosage delivery at low dilution ratios for unmanned aerial vehicle application in paddy fields.
              
            ","Zhao R, Sun Z, Bird N, Gu YC, Xu Y, Zhang ZH, Wu XM.",<built-in method split of str object at 0x000001C4073A5C50>,34984795,No,"
              BACKGROUND: Unmanned aerial vehicles (UAVs) have been developed to improve the efficiency of pesticide applications, and they are now widely utilized in Asia. ...
            ",https://pubmed.ncbi.nlm.nih.gov/34984795/
"
              
                Using canopy height model derived from UAV imagery as an auxiliary for spectral data to estimate the canopy cover of mixed broadleaf forests.
              
            ","Miraki M, Sohrabi H.",<built-in method split of str object at 0x000001C406F7BD70>,34958415,No,"
              Measurement and mapping this attribute in fine-scale is a difficult task. Aerial imagery using unmanned aerial vehicle (UAV) has been recognized as an excellent tool to estimate canopy attributes. ...Overall, the results showed that the efficiency of the grou …
            ",https://pubmed.ncbi.nlm.nih.gov/34958415/
"
              
                Potentials of Low-Budget Microdrones: Processing 3D Point Clouds and Images for Representing Post-Industrial Landmarks in Immersive Virtual Environments.
              
            ","Weißmann M, Edler D, Rienow A.",<built-in method split of str object at 0x000001C4074B7770>,35685619,Yes,"
              Today, these landmarks are popular places of interest for visitors. In addition to portable camera devices, low-budget ultra-lightweight unmanned aerial vehicles, such as micro quadcopter drones, are on their way to being established as mass photograph …
            ",https://pubmed.ncbi.nlm.nih.gov/35685619/
"
              
                'Eye in the sky': Off-the-shelf unmanned aerial vehicle (UAV) highlights exposure of marine turtles to floating litter (FML) in nearshore waters of Mayo Bay, Philippines.
              
            ","Abreo NAS, Aurelio RM Jr, Kobayashi VB, Thompson KF.",<built-in method split of str object at 0x000001C406030F30>,36549238,No,"
              Limited data as a result of funding and logistical challenges in developing countries hamper our understanding of the problem. Here, we employed commercial unmanned aerial vehicle (UAV) as a cost-effective tool to study the exposure of marine turtles to floating mar …
            ",https://pubmed.ncbi.nlm.nih.gov/36549238/
"
              
                Radiation Mapping for an Unmanned Aerial Vehicle: Development and Simulated Testing of Algorithms for Source Mapping and Navigation Path Generation.
              
            ","Liu T, Di Fulvio A, Chung LK, Kearfott KJ.",<built-in method split of str object at 0x000001C406F7BBB0>,33315649,No,"
              Image reconstruction algorithms were developed for radiation source mapping and used for generating the search path of a moving radiation detector, such as one onboard an unmanned aerial vehicle. Simulations consisted of first assuming radioactive sources of varying …
            ",https://pubmed.ncbi.nlm.nih.gov/33315649/
"
              
                Fast collective evasion in self-localized swarms of unmanned aerial vehicles.
              
            ","Novák F, Walter V, Petráček P, Báča T, Saska M.",<built-in method split of str object at 0x000001C4050F2F70>,34653998,No,"
              A novel approach for achieving fast evasion in self-localized swarms of unmanned aerial vehicles (UAVs) threatened by an intruding moving object is presented in this paper. ...
            ",https://pubmed.ncbi.nlm.nih.gov/34653998/
"
              
                ""Of course, drones delivering urgent medicines are necessary. But I would not use them until"" Insights from a qualitative study on users' needs and requirements regarding the use of medical drones.
              
            ","Fink F, Paulicke D, Grünthal M, Jahn P.",<built-in method split of str object at 0x000001C4074B7220>,37155650,Yes,"
              BACKGROUND: The current COVID-19 pandemic, demographic trends, and the increasing shortage of skilled workers pose major challenges for the care of people with and without care needs. The potential of drones as unmanned aerial vehicles in health care is being …
            ",https://pubmed.ncbi.nlm.nih.gov/37155650/
"
              
                Growth Monitoring and Yield Estimation of Maize Plant Using Unmanned Aerial Vehicle (UAV) in a Hilly Region.
              
            ","Sapkota S, Paudyal DR.",<built-in method split of str object at 0x000001C4074B8110>,37420599,Yes,"
              Estimation of yield can be performed using remote sensing technology such as Unmanned Aerial Vehicles (UAVs), which is a rapid method for large area examination, providing detailed data on plant growth and yield estimation. ...
            ",https://pubmed.ncbi.nlm.nih.gov/37420599/
"
              
                Maritime autonomous surface ships: can we learn from unmanned aerial vehicle incidents using the perceptual cycle model?
              
            ","Lynch KM, Banks VA, Roberts APJ, Radcliffe S, Plant KL.",<built-in method split of str object at 0x000001C406784330>,36136049,No,"
              This paper aims to investigate underlying decision-making processes of operators of uncrewed vehicles using the theoretical foundation of the Perceptual Cycle Model (PCM). A case study of an Unmanned Aerial Vehicle (UAV) accident has been chosen as it bears similari …
            ",https://pubmed.ncbi.nlm.nih.gov/36136049/
"
              
                UAV-based RGB and TIR imaging for geothermal monitoring: a case study at Kestanbol geothermal field, Northwestern Turkey.
              
            ","Yucel MA, Sanliyuksel Yucel D.",<built-in method split of str object at 0x000001C4074B83B0>,37017799,No,"
              This study conducted the first-ever surveys over a 10 ha reach of the Kestanbol geothermal field using an unmanned aerial vehicle (UAV) equipped with visible (RGB) and thermal infrared (TIR) cameras. ...
            ",https://pubmed.ncbi.nlm.nih.gov/37017799/
"
              
                The detection of clandestine graves in an arid environment using thermal imaging deployed from an unmanned aerial vehicle.
              
            ","Alawadhi A, Eliopoulos C, Bezombes F.",<built-in method split of str object at 0x000001C406300B70>,37194428,No,"
              However, the detection of clandestine graves in such an arid environment by deploying remote sensing payload on unmanned aerial vehicles (UAVs) has received little attention. The present study used a UAV equipped with a thermal sensor aimed at narrowing down the sea …
            ",https://pubmed.ncbi.nlm.nih.gov/37194428/
"
              
                Using computer vision, image analysis and UAVs for the automatic recognition and counting of common cranes (Grus grus).
              
            ","Chen A, Jacob M, Shoshani G, Charter M.",<built-in method split of str object at 0x000001C406787830>,36516707,Yes,"
              In this study, an advanced and accurate method for automatically calculating the number of cranes (Grus grus), using thermal cameras at night and visible light (RGB) cameras during the day onboard unmanned aerial vehicles (UAVs), based on image analysis and computer …
            ",https://pubmed.ncbi.nlm.nih.gov/36516707/
"
              
                An integrative data-driven approach for monitoring corn biomass under irrigation water and nitrogen levels based on UAV-based imagery.
              
            ","Feizolahpour F, Besharat S, Feizizadeh B, Rezaverdinejad V, Hessari B.",<built-in method split of str object at 0x000001C406605F00>,37615731,No,"
Unmanned aerial vehicle (UAV)-based remote sensing has been widely considered recently in field scale crop yield estimation. ...The research was done using a randomized complete block design at three levels of 60, 80, and 100% of irrigation water and nitrogen requir …
            ",https://pubmed.ncbi.nlm.nih.gov/37615731/
"
              
                The spatial pattern of Scirpus mariqueter expansion and the associated mechanism of self-organization using unmanned aerial vehicles and its significance for coastal wetland restoration.
              
            ","Gong G, Fang S, Gao M, Zhang B, Zhang S, Li G, He P, Deitch MJ, Gebremicael TG.",<built-in method split of str object at 0x000001C406606010>,38010577,No,"
              In this study, we aimed to illustrate the expansion process of Scirpus mariqueter using drone remote sensing and quantify its relationship with habitat quality. Our hypothesis was that landscape metrics could serve as valuable indicators for prioritizing habitat restoratio …
            ",https://pubmed.ncbi.nlm.nih.gov/38010577/
"
              
                An evaluation of naloxone transit for opioid overdose using drones: A case study using real-world coroner data.
              
            ","Royall PG, Courtney P, Goodair C, Copeland CS.",<built-in method split of str object at 0x000001C406300D50>,37827527,No,"
              With the implementation of recent advances in drone engineering, such as increased speeds and temperature-controlled cargo cradles, it is estimated that 98% of overdoses could have been reached in this timeframe (n = 57/58). ...CONCLUSIONS: This study provides proof-of-con …
            ",https://pubmed.ncbi.nlm.nih.gov/37827527/
"
              
                AED delivery at night - Can drones do the Job? A feasibility study of unmanned aerial systems to transport automated external defibrillators during night-time.
              
            ","Scholz SS, Wähnert D, Jansen G, Sauzet O, Latka E, Rehberg S, Thies KC.",<built-in method split of str object at 0x000001C4051DED30>,36791989,Yes,"
              BACKGROUND: In their recent guidelines the European Resuscitation Council have recommended the use of Unmanned Aerial systems (UAS) to overcome the notorious shortage of AED. ...Operational and safety data indicate no major differences between day- and night-time us …
            ",https://pubmed.ncbi.nlm.nih.gov/36791989/
"
              
                Data Collection in IoT Using UAV Based on Multi-Objective Spotted Hyena Optimizer.
              
            ",Al-Khafaji HMR.,<built-in method split of str object at 0x000001C405C79070>,36433490,Yes,"
              Today, the use of information and communication technology is very important in making the internet of things (IoT) elements distributable around the earth. With the development of IoT topics, today unmanned aerial vehicles (UAV) are utilized as a platform for gathe …
            ",https://pubmed.ncbi.nlm.nih.gov/36433490/
"
              
                A Design and Simulation of the Opportunistic Computation Offloading with Learning-Based Prediction for Unmanned Aerial Vehicle (UAV) Clustering Networks.
              
            ","Valentino R, Jung WS, Ko YB.",<built-in method split of str object at 0x000001C406F7BE50>,30400252,Yes,"
              However, drone systems have limited computing power and energy resources, which means that sometimes it is difficult for drones to finish their tasks on schedule. A solution to this is required so that drone clusters can complete their work faster. One possib …
            ",https://pubmed.ncbi.nlm.nih.gov/30400252/
"
              
                Enhanced Dynamic Spectrum Access in UAV Wireless Networks for Post-Disaster Area Surveillance System: A Multi-Player Multi-Armed Bandit Approach.
              
            ","Amrallah A, Mohamed EM, Tran GK, Sakaguchi K.",<built-in method split of str object at 0x000001C4051C6D30>,34883856,Yes,"
              The Dynamic Spectrum Access system (DSA) is considered a promising solution for this scarcity problem. With the aid of Unmanned Aerial Vehicles (UAVs), a post-disaster surveillance system is implemented using Cognitive Radio Network (CRN). ...
            ",https://pubmed.ncbi.nlm.nih.gov/34883856/
"
              
                Development of cashew nut shell lignin-acrylonitrile butadiene styrene 3D printed core and industrial hemp/aluminized glass fiber epoxy biocomposite for morphing wing and unmanned aerial vehicle applications.
              
            ","Prakash VRA, Bourchak M, Alshahrani H, Juhany KA.",<built-in method split of str object at 0x000001C405305240>,37758105,No,"
              The aim of this study was to develop a lightweight epoxy based biocomposite for morphing wing and unmanned aerial vehicle (UAV) applications. The proposed composite was developed using a 3D printed high stiffness lignin-Acrylonitrile Butadiene Styrene (ABS) core and …
            ",https://pubmed.ncbi.nlm.nih.gov/37758105/
"
              
                Mapping soil available copper content in the mine tailings pond with combined simulated annealing deep neural network and UAV hyperspectral images.
              
            ","Zhang Y, Wei L, Lu Q, Zhong Y, Yuan Z, Wang Z, Li Z, Yang Y.",<built-in method split of str object at 0x000001C4051FCD30>,36621716,No,"
              When investigating a large area of soil with ACu, manual sampling by points and inspection are mainly used, due to the heterogeneity of soil, the efficiency and accuracy are lower. The Unmanned aerial vehicle (UAV) equipped with a hyperspectral sensor as a remote se …
            ",https://pubmed.ncbi.nlm.nih.gov/36621716/
"
              
                UAV Photogrammetry for Estimating Stand Parameters of an Old Japanese Larch Plantation Using Different Filtering Methods at Two Flight Altitudes.
              
            ","Karthigesu J, Owari T, Tsuyuki S, Hiroshima T.",<built-in method split of str object at 0x000001C4051C7C30>,38139752,Yes,"
              Carriere) plantation at the University of Tokyo Hokkaido Forest (UTHF) in central Hokkaido, northern Japan, using unmanned aerial vehicle (UAV) photogrammetry. High-resolution RGB imagery was collected using a DJI Matrice 300 real-time kinematic (RTK) at altitudes o …
            ",https://pubmed.ncbi.nlm.nih.gov/38139752/
"
              
                Enhancing citrus fruit yield investigations through flight height optimization with UAV imaging.
              
            ","Kwon SH, Ku KB, Le AT, Han GD, Park Y, Kim J, Tuan TT, Chung YS, Mansoor S.",<built-in method split of str object at 0x000001C4051FDE30>,38172521,Yes,"
              To address this challenge, we investigated the optimal altitude for unmanned aerial vehicle (UAV) imaging to estimate the yield of Citrus unshiu fruit. ...
            ",https://pubmed.ncbi.nlm.nih.gov/38172521/
"
              
                [Intelligent identification of livestock, a source of Schistosoma japonicum infection, based on deep learning of unmanned aerial vehicle images].
              
            ","Xue J, Xia S, Li Z, Wang X, Huang L, He R, Li S.",<built-in method split of str object at 0x000001C406EEF6D0>,37253560,No,"
              OBJECTIVE: To develop an intelligent recognition model based on deep learning algorithms of unmanned aerial vehicle (UAV) images, and to preliminarily explore the value of this model for remote identification, monitoring and management of cattle, a source of Schisto …
            ",https://pubmed.ncbi.nlm.nih.gov/37253560/
"
              
                Systematic Approach for Remote Sensing of Historical Conflict Landscapes with UAV-Based Laserscanning.
              
            ","Storch M, Jarmer T, Adam M, de Lange N.",<built-in method split of str object at 0x000001C405C8D890>,35009762,Yes,"
              In order to locate historical traces, drone-based Laserscanning has become increasingly popular in archaeological prospection and historical conflict landscapes research. ...
            ",https://pubmed.ncbi.nlm.nih.gov/35009762/
"
              
                Siam Deep Feature KCF Method and Experimental Study for Pedestrian Tracking.
              
            ","Tang D, Jin W, Liu D, Che J, Yang Y.",<built-in method split of str object at 0x000001C406F7B2F0>,36617099,Yes,"
              The tracking of a particular pedestrian is an important issue in computer vision to guarantee societal safety. Due to the limited computing performances of unmanned aerial vehicle (UAV) systems, the Correlation Filter (CF) algorithm has been widely used to perform t …
            ",https://pubmed.ncbi.nlm.nih.gov/36617099/
"
              
                Feasibility of Live Video Feed Transmission from Unmanned Aerial Vehicles for Medical Surveillance During the 2022 Montreal Marathon.
              
            ","Lafortune R, Afram E, Grossman A, Drolet AR, de Champlain F, Iannuzzi D, Homier V.",<built-in method split of str object at 0x000001C406EEE630>,37787410,No,"
              INTRODUCTION: In recent years, unmanned aerial vehicles (UAVs) have been increasingly used for medical surveillance purposes in mass-gathering events. ...There was a total of 18 live feed interruptions leading to a total interruption time of 22 minutes and 19 second …
            ",https://pubmed.ncbi.nlm.nih.gov/37787410/
"
              
                [Molluscicidal effect of spraying 5% niclosamide ethanolamine salt granules with drones against Oncomelania hupensis in hilly regions].
              
            ","He J, Zhang Y, Bao Z, Guo S, Cao C, Du C, Cha J, Sun J, Dong Y, Xu J, Li S, Zhou X.",<built-in method split of str object at 0x000001C405183360>,38148533,No,"
              CONCLUSIONS: The molluscicidal effect of spraying 5% niclosamide ethanolamine salt granules with drones against O. hupensis snails is superior to manual chemical treatment without environmental cleaning, and chemical treatment with drones and manual chemical treatme …
            ",https://pubmed.ncbi.nlm.nih.gov/38148533/
"
              
                A novel strategy for estimating biomass of submerged aquatic vegetation in lake integrating UAV and Sentinel data.
              
            ","Lu L, Luo J, Xin Y, Xu Y, Sun Z, Duan H, Xiao Q, Qiu Y, Huang L, Zhao J.",<built-in method split of str object at 0x000001C406EB7CF0>,38104807,No,"
              In this study, we proposed an innovative strategy integrating unmanned aerial vehicle (UAV) and satellite data to invert large-scale SAV coverage, and subsequently estimate the biomass of the dominant SAV population (Potamogeton pectinatus) in Ulansuhai Lake. ...
            ",https://pubmed.ncbi.nlm.nih.gov/38104807/
"
              
                Field measurement and numerical simulation of the relationship between the vertical wind environment and building morphology in residential areas in Xi'an, China.
              
            ","Feng W, Zhen M, Ding W, Zou Q.",<built-in method split of str object at 0x000001C406032B30>,34545516,No,"
              First, the characteristics of the vertical wind profile in residential areas were measured using unmanned aerial vehicle (UAV). Second, the wind speed ratio (WSR) at different height levels under the impact of morphological index (floor area ratio, building density, …
            ",https://pubmed.ncbi.nlm.nih.gov/34545516/
"
              
                A framework for precisely thinning planning in a managed pure Chinese fir forest based on UAV remote sensing.
              
            ","Zhou P, Sun Z, Zhang X, Wang Y.",<built-in method split of str object at 0x000001C4073A4300>,36464045,No,"
              In this study we address such challenges by providing a novel framework for planning thinning operations through Unmanned Aerial Vehicle (UAV) remote sensing techniques, which can not only obtain forest attributes of its entire stand with spatial properties, but als …
            ",https://pubmed.ncbi.nlm.nih.gov/36464045/
"
              
                Enhanced dosage delivery of pesticide under unmanned aerial vehicle condition for peanut plant protection: tank-mix adjuvants and formulation improvement.
              
            ","Sun Z, Zhao R, Yu M, Liu Y, Ma Y, Guo X, Gu YC, Formstone C, Xu Y, Wu X.",<built-in method split of str object at 0x000001C406033030>,37987532,No,"
              BACKGROUND: Suspension concentrate (SC) is one of the most widely used formulations for agricultural plant protection. With the rapid development of unmanned aerial vehicle (UAV) plant protection, the problems of spray drift, droplet rebound and poor wettability in …
            ",https://pubmed.ncbi.nlm.nih.gov/37987532/
"
              
                Determination of long-term volume change in lakes by integration of UAV and satellite data: the case of Lake Burdur in Türkiye.
              
            ","Kaya Y, Sanli FB, Abdikan S.",<built-in method split of str object at 0x000001C406030B30>,37872337,No,"
              In this study, we investigated the long-term changes in Burdur Lake, a Ramsar site, by integrating the Digital Elevation Model (DEM) obtained by the unmanned aerial vehicle (UAV) with shoreline information obtained from the Landsat mission. ...
            ",https://pubmed.ncbi.nlm.nih.gov/37872337/
"
              
                Floating marine macro-litter in the North Western Mediterranean Sea: Results from a combined monitoring approach.
              
            ","Garcia-Garin O, Borrell A, Aguilar A, Cardona L, Vighi M.",<built-in method split of str object at 0x000001C4068E4BE0>,32692674,No,"
              The aim of the present study was twofold: (i) to validate the drone methodology for floating marine macro-litter (FMML) monitoring, by comparing the results obtained through concurrent drone surveys and visual observations from vessels, and (ii) to assess FMML densi …
            ",https://pubmed.ncbi.nlm.nih.gov/32692674/
"
              
                Managed European-Derived Honey Bee, Apis mellifera sspp, Colonies Reduce African-Matriline Honey Bee, A. m. scutellata, Drones at Regional Mating Congregations.
              
            ","Mortensen AN, Ellis JD.",<built-in method split of str object at 0x000001C4073A6B50>,27518068,Yes,"
              In the present study, we aimed to determine if the management of European-derived honey bees (A. mellifera sspp.) could reduce the relative abundance of African-matriline drones at regional mating sites known as drone congregation areas (DCAs). ...Our data demonstra …
            ",https://pubmed.ncbi.nlm.nih.gov/27518068/
"
              
                Mating flights select for symmetry in honeybee drones (Apis mellifera).
              
            ","Jaffé R, Moritz RF.",<built-in method split of str object at 0x000001C406030530>,20012931,No,"
              From the thousands of drones that are reared in a single colony, only very few succeed in copulating with a queen, and therefore, a strong selection is expected to act on adult drones during their mating flights. ...Our results demonstrate the action of selection du …
            ",https://pubmed.ncbi.nlm.nih.gov/20012931/
"
              
                Performance of Sensor Data Process Offloading on 5G-Enabled UAVs.
              
            ","Damigos G, Lindgren T, Sandberg S, Nikolakopoulos G.",<built-in method split of str object at 0x000001C406032730>,36679660,Yes,"
              Recently, unmanned aerial vehicle (UAV)-oriented applications have been growing worldwide. ...
            ",https://pubmed.ncbi.nlm.nih.gov/36679660/
"
              
                Surface sediment classification using a deep learning model and unmanned aerial vehicle data of tidal flats.
              
            ","Kim KL, Woo HJ, Jou HT, Jung HC, Lee SK, Ryu JH.",<built-in method split of str object at 0x000001C4068E48B0>,38039578,Yes,"
              This study proposes a deep learning model, U-Net, to improve surface sediment classification using high-resolution unmanned aerial vehicle (UAV) images. We constructed training datasets with UAV images and corresponding labeling data acquired from three field survey …
            ",https://pubmed.ncbi.nlm.nih.gov/38039578/
"
              
                'You Wouldn't have Your Granny Using Them': Drawing Boundaries Between Acceptable and Unacceptable Applications of Civil Drones.
              
            ",Boucher P.,<built-in method split of str object at 0x000001C406F7A790>,26538352,Yes,"
              Some industry and policy actors are concerned about public opposition to civil drones, in particular because of their association with military drones. ...The results are positioned in support for calls to strengthen the role of citizens in civil drone develo …
            ",https://pubmed.ncbi.nlm.nih.gov/26538352/
