id,title,assignee,author ,priority date,filing/creation date,publication date,grant date,result_link,figure_link
US-2018007518-A1,Drone Assisted Mesh Network For First Responders ,"David T. O'Berry, Simon Hunt","David T. O'Berry, Simon Hunt",2016-7-1,2016-7-1,2018-1-4,,https://patents.google.com/patent/US20180007518A1/en,https://patentimages.storage.googleapis.com/29/23/d4/2eb24f4a4e8f5a/US20180007518A1-20180104-D00000.png
KR-101952160-B1,Drone Landing Field Apparatus ,"도준우, 김지연","도준우, 김지연",2016-6-14,2016-6-14,2019-2-26,2019-2-26,https://patents.google.com/patent/KR101952160B1/en,https://patentimages.storage.googleapis.com/74/21/32/58a20f1bc7222c/112016056841410-pat00001.png
US-2017090484-A1,Drone-based personal delivery system ,"T-Mobile U.S.A., Inc.",Ahmad Arash Obaidi,2015-9-29,2015-9-29,2017-3-30,,https://patents.google.com/patent/US20170090484A1/en,https://patentimages.storage.googleapis.com/b4/1d/97/a3730c8947203e/US20170090484A1-20170330-D00000.png
US-10404369-B2,Systems and methods for using drones for determining line-of-sight conditions in wireless networks ,Siklu Communication ltd.,"Yigal LEIBA, Shimon Hochbaum",2016-6-7,2017-10-1,2019-9-3,2019-9-3,https://patents.google.com/patent/US10404369B2/en,https://patentimages.storage.googleapis.com/d5/26/03/60e4b2e81313a0/US10404369-20190903-D00000.png
JP-6418669-B2,"Dial assembly, remote controller, and control method for drone ","エスゼット ディージェイアイ テクノロジー カンパニー リミテッドＳｚ Ｄｊｉ Ｔｅｃｈｎｏｌｏｇｙ Ｃｏ．，Ｌｔｄ, エスゼット  ディージェイアイ  テクノロジー  カンパニー  リミテッド","タン、イン, ヂャオ、タオ, グイ、グオジュゥ",2014-9-30,2014-9-30,2018-11-7,2018-11-7,https://patents.google.com/patent/JP6418669B2/en,https://patentimages.storage.googleapis.com/61/31/b7/07cfb9d269ff10/0006418669-2.png
US-11620914-B1,"Multiplexed communication of telemetry data, video stream data and voice data among piloted aerial drones via a common software application ","DroneUp, LLC","Thomas Walker, John Vernon",2017-9-29,2020-12-21,2023-4-4,2023-4-4,https://patents.google.com/patent/US11620914B1/en,https://patentimages.storage.googleapis.com/55/69/49/59faa611b2947f/US11620914-20230404-D00000.png
JP-6906959-B2,Fertilizer spraying method using a drone ,東光鉄工株式会社,"與明 鳥潟, 與明 鳥潟, 和光 工藤, 和光 工藤, 友樹 佐藤, 友樹 佐藤",2017-1-12,2017-1-12,2021-7-21,2021-7-21,https://patents.google.com/patent/JP6906959B2/en,https://patentimages.storage.googleapis.com/77/6e/c1/c59cea83746a76/0006906959-6.png
US-2018090016-A1,Methods and apparatus to navigate drones based on weather data ,Intel Corporation,"Yoshifumi Nishi, David W. Browning",2016-9-27,2016-9-27,2018-3-29,,https://patents.google.com/patent/US20180090016A1/en,https://patentimages.storage.googleapis.com/e6/1e/08/cb6458556a76ba/US20180090016A1-20180329-D00000.png
US-2021299311-A1,Multifunction Disinfection Drone Apparatus and Method ,Simon Siu-Chi Yu,Simon Siu-Chi Yu,2020-3-26,2020-8-13,2021-9-30,,https://patents.google.com/patent/US20210299311A1/en,https://patentimages.storage.googleapis.com/85/92/60/cafec3a341b4bf/US20210299311A1-20210930-D00000.png
US-2021256614-A1,Theft identification and insurance claim adjustment using drone data ,State Farm Mutual Automobile Insurance Company,"Nathan L. Tofte, Timothy W. Ryan, Nathan W. Baumann, Michael Shawn Jacob, Joshua David Lillie, Brian N. Harvey, Roxane Lyons, Rosemarie Geier Grant",2014-9-22,2015-9-18,2021-8-19,,https://patents.google.com/patent/US20210256614A1/en,https://patentimages.storage.googleapis.com/00/f5/ad/2523c7505a3cfe/US20210256614A1-20210819-D00000.png
US-2017178518-A1,Method and apparatus for controlling an aerial drone through policy driven control rules ,"At&T Intellectual Property I, L.P.","Mark Jeffrey Foladare, Robert M. Higgins, Reuben Klein",2015-12-16,2015-12-16,2017-6-22,,https://patents.google.com/patent/US20170178518A1/en,https://patentimages.storage.googleapis.com/fc/79/6b/b776d30f07fe27/US20170178518A1-20170622-D00000.png
CN-105539834-B,A kind of composite wing vertical take-off and landing drone ,成都纵横自动化技术有限公司,"王陈, 王利光, 任斌, 王进",2016-1-12,2016-1-12,2018-8-21,2018-8-21,https://patents.google.com/patent/CN105539834B/en,
KR-101915294-B1,Height surveying system of ground terrain using drone ,"배경록, 이명화","배경록, 이명화",2018-9-6,2018-9-6,2018-11-6,2018-11-6,https://patents.google.com/patent/KR101915294B1/en,https://patentimages.storage.googleapis.com/54/df/6c/c7a7b53754b864/112018088800726-pat00001.png
US-2017103659-A1,Method and system for implementing and enforcing a no-fly zone or prohibitive zone for drones and unmanned vehicles ,Xin Jin,Xin Jin,2015-10-10,2015-10-10,2017-4-13,,https://patents.google.com/patent/US20170103659A1/en,https://patentimages.storage.googleapis.com/28/0d/fb/fe7437d6c6bc9a/US20170103659A1-20170413-D00000.png
US-11183071-B2,Drone flight optimization using drone-to-drone permissioning ,International Business Machines Corporation,"Mark Delaney, Brett Ward, Melissa Restrepo Conde, William J. Green",2018-8-31,2018-8-31,2021-11-23,2021-11-23,https://patents.google.com/patent/US11183071B2/en,https://patentimages.storage.googleapis.com/55/0e/8d/58358fbe56cc41/US11183071-20211123-D00000.png
KR-101653125-B1,Drone system for rescue and method of rescue ,"전민수, 김태욱","김태욱, 전민수",2016-5-23,2016-5-23,2016-9-1,2016-9-1,https://patents.google.com/patent/KR101653125B1/en,https://patentimages.storage.googleapis.com/18/ed/03/7094eca8cb3dc4/112016049297440-pat00001.png
US-10132951-B2,Detection of buried assets using drone apparatus ,Alan Haddy,Alan Haddy,2013-10-22,2016-12-27,2018-11-20,2018-11-20,https://patents.google.com/patent/US10132951B2/en,https://patentimages.storage.googleapis.com/ae/9d/43/632a30b68d75c8/US10132951-20181120-D00000.png
US-10948304-B2,Method and apparatus for creating underground or interior drone routes ,Here Global B.V.,Ivo KUZMANOVIC,2018-8-30,2018-8-30,2021-3-16,2021-3-16,https://patents.google.com/patent/US10948304B2/en,https://patentimages.storage.googleapis.com/6b/e8/aa/2efde7e3299b6a/US10948304-20210316-D00000.png
JP-6886212-B2,Drone visual SLAM method based on GPU acceleration ,"広東工業大学Ｇｕａｎｇｄｏｎｇ Ｕｎｉｖｅｒｓｉｔｙ Ｏｆ Ｔｅｃｈｎｏｌｏｇｙ, 広東工業大学","仁全 魯, 仁全 魯, 偉 孟, 偉 孟, 倩倩 蔡, 倩倩 蔡, 志杰 費, 志杰 費, 鴻一 李, 鴻一 李",2019-11-5,2020-10-5,2021-6-16,2021-6-16,https://patents.google.com/patent/JP6886212B2/en,https://patentimages.storage.googleapis.com/5e/a2/d2/b07a9a773e9183/0006886212-22.png
KR-101768012-B1,Smoke Fire Detecting System Using Drone with Thermal Image Camera ,룩시어 유한회사,"박용주, 김경한, 강종화",2016-12-27,2016-12-27,2017-8-23,2017-8-23,https://patents.google.com/patent/KR101768012B1/en,https://patentimages.storage.googleapis.com/b2/36/05/9b031d83b3e778/112016127944693-pat00001.png
US-D981908-S,Drone ,Shantou Flying Technology Inc.,Yuqin Wu,2020-9-24,2020-9-24,2023-3-28,2023-3-28,https://patents.google.com/patent/USD981908S1/en,https://patentimages.storage.googleapis.com/ad/48/5e/8a9fa394f7de98/USD0981908-20230328-D00000.png
US-8626364-B2,"Method and system for controlling the automatic landing/take-off of a drone on or from a circular landing grid of a platform, in particular a naval platform ",Dcns,Julien Pierre Guillaume Moresve,2008-10-13,2009-10-13,2014-1-7,2014-1-7,https://patents.google.com/patent/US8626364B2/en,https://patentimages.storage.googleapis.com/88/63/96/b9d717c10da9a8/US08626364-20140107-D00000.png
US-11713060-B2,"Systems and methods for remote monitoring of a vehicle, robot or drone ",Guident Ltd.,"Clifford M. Gross, Harald Braun, Gabriel Castaneda, Michael J. Trank",2020-9-18,2020-9-18,2023-8-1,2023-8-1,https://patents.google.com/patent/US11713060B2/en,https://patentimages.storage.googleapis.com/56/75/ac/6111e539b3f036/US11713060-20230801-D00000.png
US-9854206-B1,Privacy-aware indoor drone exploration and communication framework ,TCL Research America Inc.,"Xiaobo Ren, Haohong Wang",2016-12-22,2016-12-22,2017-12-26,2017-12-26,https://patents.google.com/patent/US9854206B1/en,https://patentimages.storage.googleapis.com/de/5d/5b/d5c28d603b1378/US09854206-20171226-D00000.png
US-D932369-S,Drone ,"ZenaDrone, Inc.",Shaun Passley,2020-9-16,2020-9-16,2021-10-5,2021-10-5,https://patents.google.com/patent/USD932369S1/en,https://patentimages.storage.googleapis.com/b4/39/59/e927cdddfaf6b2/USD0932369-20211005-D00000.png
KR-20200031165-A,"Navigation chart configuration method, obstacle avoidance method and device, terminal, drone ",광저우 엑스에어크래프트 테크놀로지 씨오 엘티디,"리창 정, 펑 류",2017-10-26,2018-10-26,2020-3-23,,https://patents.google.com/patent/KR20200031165A/en,https://patentimages.storage.googleapis.com/86/a9/ab/0f49c8798ec58f/pct00011.png
CN-106597851-B,A kind of robust Fault-Tolerant Control method of small drone flight control system ,南京航空航天大学,"杨蒲, 郭瑞诚, 刘剑慰, 马犇, 董艳",2016-12-15,2016-12-15,2019-4-30,2019-4-30,https://patents.google.com/patent/CN106597851B/en,
KR-101984202-B1,Cleaning system for solar panel using drone ,남영훈,남영훈,2018-8-13,2018-8-13,2019-5-30,2019-5-30,https://patents.google.com/patent/KR101984202B1/en,https://patentimages.storage.googleapis.com/f5/e8/31/3c075089fc41cd/112018079722224-pat00001.png
US-11527930-B2,Motor for drone and drone comprising same ,"Lg Innotek Co., Ltd.",Young Dae Park,2016-8-22,2017-8-22,2022-12-13,2022-12-13,https://patents.google.com/patent/US11527930B2/en,https://patentimages.storage.googleapis.com/bb/b8/7b/c317a1e7f148bb/US11527930-20221213-D00000.png
US-2016042637-A1,Drone Safety Alert Monitoring System and Method ,"Clandestine Development, Llc",Peter Cahill,2014-8-11,2015-8-11,2016-2-11,,https://patents.google.com/patent/US20160042637A1/en,https://patentimages.storage.googleapis.com/ed/19/bd/c328284c08d123/US20160042637A1-20160211-D00000.png
KR-102003727-B1,"Apparatus for Preventing Drop Accident of Drone, and Method for Controlling the Same ",주식회사 헥사팩토리,김성민,2016-12-5,2016-12-5,2019-10-1,2019-10-1,https://patents.google.com/patent/KR102003727B1/en,https://patentimages.storage.googleapis.com/6e/88/18/f80d93764bfd14/112016119086501-pat00001.png
KR-101736381-B1,Method of real-time operational ocean monitoring system using Drone equipped with an automatic winch ,한국해양과학기술원,"심재설, 임학수, 정진용, 채기영",2015-10-2,2015-10-2,2017-5-16,2017-5-16,https://patents.google.com/patent/KR101736381B1/en,https://patentimages.storage.googleapis.com/95/8c/ab/7505b25a43aa42/112015095825830-pat00001.png
US-11132906-B2,Drone detection and warning for piloted aircraft ,"Drone Traffic, Llc",Richard Eric Zelenka,2015-10-22,2020-5-11,2021-9-28,2021-9-28,https://patents.google.com/patent/US11132906B2/en,https://patentimages.storage.googleapis.com/d8/60/40/3df75d6f2ecc7d/US11132906-20210928-D00000.png
CN-110222581-A,A kind of quadrotor drone visual target tracking method based on binocular camera ,电子科技大学,"李�瑞, 刘奇胜, 史莹晶, 吴士成",2019-5-13,2019-5-13,2019-9-10,,https://patents.google.com/patent/CN110222581A/en,
US-2017336203-A1,Methods and systems for remote sensing with drones and mounted sensor devices ,"Galileo Group, Inc.","Donald Michael Barnes, James Michael GRICHNIK",2014-10-26,2015-10-26,2017-11-23,,https://patents.google.com/patent/US20170336203A1/en,https://patentimages.storage.googleapis.com/19/2b/3a/7f026e29971158/US20170336203A1-20171123-D00000.png
US-2016167470-A1,"Gliding mobile, in particular hydrofoil, propelled by a rotary-wing drone ",Parrot,"Henri Seydoux, Jean Etcheparre",2014-12-11,2015-11-13,2016-6-16,,https://patents.google.com/patent/US20160167470A1/en,https://patentimages.storage.googleapis.com/b5/b3/4a/150f96e1020605/US20160167470A1-20160616-D00000.png
US-2016144358-A1,"Dynamic Lab on a Chip Based Point-Of-Care Device For Analysis of Pluripotent Stem Cells, Tumor Cells, Drug Metabolites, Immunological Response, Glucose Monitoring, Hospital Based Infectious Diseases, and Drone Delivery Point-of-Care Systems ",Nilesh Patel,Nilesh Patel,2016-1-28,2016-1-28,2016-5-26,,https://patents.google.com/patent/US20160144358A1/en,https://patentimages.storage.googleapis.com/6b/c7/12/e49f77e0d7708d/US20160144358A1-20160526-D00001.png
US-2016176514-A1,Rotary wing drone ,Parrot,"Gauthier Lavagen, Karim Fargeau, Yoni Benatar",2014-12-22,2015-12-2,2016-6-23,,https://patents.google.com/patent/US20160176514A1/en,https://patentimages.storage.googleapis.com/2a/d1/f0/104154d4a2810a/US20160176514A1-20160623-D00000.png
US-2017160751-A1,System and method for controlling drone movement for object tracking using estimated relative distances and drone sensor inputs ,"Pilot Ai Labs, Inc.","Brian Pierce, Elliot English, Ankit Kumar, Jonathan Su",2015-12-4,2016-12-5,2017-6-8,,https://patents.google.com/patent/US20170160751A1/en,https://patentimages.storage.googleapis.com/d3/04/3a/f5789328fc0011/US20170160751A1-20170608-D00000.png
US-2017043869-A1,Protection element and device for camera drone ,"Intellitrax, Inc., George Tang Industrial Corp.","Richie Howard, George Tang",2015-8-11,2015-8-11,2017-2-16,,https://patents.google.com/patent/US20170043869A1/en,https://patentimages.storage.googleapis.com/ce/9d/a1/a54fad85bc5839/US20170043869A1-20170216-D00000.png
US-10043398-B2,Drone coordination ,International Business Machines Corporation,"Ben Z. Akselrod, Anthony Di Loreto, Steve McDuff, Kyle D. Robeson",2016-3-25,2016-3-25,2018-8-7,2018-8-7,https://patents.google.com/patent/US10043398B2/en,https://patentimages.storage.googleapis.com/d7/d9/2c/8d02225d1a9c7f/US10043398-20180807-D00000.png
US-10998793-B2,Motor for drone and drone including same ,"Lg Innotek Co., Ltd.",Young Dae Park,2016-7-12,2017-7-12,2021-5-4,2021-5-4,https://patents.google.com/patent/US10998793B2/en,https://patentimages.storage.googleapis.com/01/ce/4f/409ab54b3847f3/US10998793-20210504-D00000.png
KR-101877864-B1,A drone system which utilizes mobile communication network and a drone management server which uses the same ,주식회사 휴인스,송태훈,2016-10-31,2016-10-31,2018-7-12,2018-7-12,https://patents.google.com/patent/KR101877864B1/en,https://patentimages.storage.googleapis.com/ac/56/31/f2a3c977f87ea3/112016106254436-pat00001.png
US-10486831-B2,Method and apparatus for an airborne drone training track ,"Walmart Apollo, Llc","Donald R. High, Chandrashekar Natarajan, John P. Thompson, Michael D. Atchley",2015-10-27,2016-10-26,2019-11-26,2019-11-26,https://patents.google.com/patent/US10486831B2/en,https://patentimages.storage.googleapis.com/20/19/a6/7b36a5af9b7b04/US10486831-20191126-D00000.png
KR-101881396-B1,System for cooperative anti-drone and method for cooperation control of anti-drones ,주식회사 모두의연구소,김승일,2016-10-21,2016-10-21,2018-7-24,2018-7-24,https://patents.google.com/patent/KR101881396B1/en,https://patentimages.storage.googleapis.com/72/35/01/cddb7664e2ccb6/112016102246837-pat00001.png
US-10169988-B2,Aerial drone for correcting erratic driving of a vehicle ,International Business Machines Corporation,"James R. Kozloski, Clifford A. Pickover, Maja Vukovic",2016-10-19,2016-10-19,2019-1-1,2019-1-1,https://patents.google.com/patent/US10169988B2/en,https://patentimages.storage.googleapis.com/ae/6a/c0/6ca61e399dd36b/US10169988-20190101-D00000.png
RU-2733905-C2,System for communication with drones using two frequency bands ,"Рхомбус Сыстемс Гроуп, Инц.",Ерленд ОЛСОН,2016-4-18,2017-6-14,2020-10-8,2020-10-8,https://patents.google.com/patent/RU2733905C2/en,https://patentimages.storage.googleapis.com/34/83/d9/9c97352243a3f9/00000003.png
US-10329029-B2,Falling drone warning apparatuses and methods ,"1twoZ, LLC",Ryan Matthew Canning,2016-6-12,2017-6-12,2019-6-25,2019-6-25,https://patents.google.com/patent/US10329029B2/en,https://patentimages.storage.googleapis.com/7d/74/ac/90d8838dd1384c/US10329029-20190625-D00000.png
JP-4698416-B2,"Delon cup type heat exchanger manufacturing method, aluminum clad plate material, and drone cup type heat exchanger ","株式会社デンソー, 住友軽金属工業株式会社","義治 長谷川, 治彦 宮地, 泰永 伊藤, 尚希 山下",2005-12-28,2005-12-28,2011-6-8,2011-6-8,https://patents.google.com/patent/JP4698416B2/en,https://patentimages.storage.googleapis.com/66/2f/ff/76a16339173759/0004698416-2.png
CN-106347651-B,A kind of miniature drone of column coaxial double-oar layout ,北京瀚科瑞杰科技发展有限公司,"罗景琳, 储瑞忠, 侯洪宁, 申智泉, 李英杰, 王志杰",2016-11-21,2016-11-21,2018-7-13,2018-7-13,https://patents.google.com/patent/CN106347651B/en,
EP-3160817-B1,Lead rail vehicle with drone vehicle and method ,Harsco Technologies LLC,John Mustard,2014-6-30,2015-6-26,2022-11-2,2022-11-2,https://patents.google.com/patent/EP3160817B1/en,https://patentimages.storage.googleapis.com/29/51/04/f6274e9b0617ca/imgf0001.png
US-10643346-B2,"Target tracking method performed by a drone, related computer program, electronic system and drone ",Thales,"Clément Victor HUBER, Michel Roger",2017-4-14,2018-4-13,2020-5-5,2020-5-5,https://patents.google.com/patent/US10643346B2/en,https://patentimages.storage.googleapis.com/e4/63/7d/da27a8caff7036/US10643346-20200505-D00000.png
JP-6245566-B1,Drone flight safety frame ,"株式会社 ホーペック, 株式会社  ホーペック, 有限会社ユークラフト","幸生 濱口, 幸生 濱口, 克己 上野, 克己 上野",2017-5-26,2017-5-26,2017-12-13,2017-12-13,https://patents.google.com/patent/JP6245566B1/en,https://patentimages.storage.googleapis.com/4b/24/95/efa6618efae3bf/0006245566-2.png
KR-101934300-B1,Apparatus of controlling drone and method of controlling formation flight using the same ,(주)스마트모션,"곽용인, 곽홍석, 황정선, 이은하",2017-5-24,2017-5-24,2019-1-3,2019-1-3,https://patents.google.com/patent/KR101934300B1/en,https://patentimages.storage.googleapis.com/c8/44/78/a79e7c5573f67f/112017049586004-pat00001.png
KR-102066346-B1,Painting drone and painting system using it ,경일대학교산학협력단,이광일,2018-4-10,2018-4-10,2020-1-14,2020-1-14,https://patents.google.com/patent/KR102066346B1/en,https://patentimages.storage.googleapis.com/d0/04/dd/200ebd195ed35e/112018035375893-pat00001.png
US-2019369057-A1,Drone-carried probe stabilization via electromagnetic attachment ,Amerapex NDT LLC,"Rami Mattar, Remy Kalai",2018-5-30,2019-5-30,2019-12-5,,https://patents.google.com/patent/US20190369057A1/en,https://patentimages.storage.googleapis.com/cc/25/60/88e0e2204e5315/US20190369057A1-20191205-D00000.png
US-2016247116-A1,Method and apparatus for warehouse cycle counting using a drone ,Droneware Technology Corporation,"Craig Olivo, Michael Buzaki",2015-2-19,2016-2-2,2016-8-25,,https://patents.google.com/patent/US20160247116A1/en,https://patentimages.storage.googleapis.com/c1/fc/2b/34bfbf228a6322/US20160247116A1-20160825-D00000.png
KR-101895529-B1,System and method for supporting drone autonomous flight based on Real Time Location System ,"동서대학교산학협력단, (주)이도링크","권종만, 신필순, 황기현, 김주용, 윤태수",2016-1-14,2016-1-14,2018-9-5,2018-9-5,https://patents.google.com/patent/KR101895529B1/en,https://patentimages.storage.googleapis.com/7b/35/59/6451f96a9627aa/112016004400267-pat00001.png
KR-101569454-B1,System and method for flying experience using drone ,제주한라대학교산학협력단,"김성훈, 문석환, 유선진",2015-5-26,2015-5-26,2015-11-17,2015-11-17,https://patents.google.com/patent/KR101569454B1/en,https://patentimages.storage.googleapis.com/23/1a/cd/b0694746c4f208/112015050168291-pat00001.png
US-2017198854-A1,Water pipe drone for detecting and fixing leaks ,"American Water Works Company, Inc.",Paul Gagliardo,2015-1-30,2017-3-28,2017-7-13,,https://patents.google.com/patent/US20170198854A1/en,https://patentimages.storage.googleapis.com/60/5b/89/3f5b227e87f9a6/US20170198854A1-20170713-D00000.png
US-10710716-B2,Inhibiting cable entanglement in tethered drones ,"T-Mobile Usa, Inc.",Christopher Wieczorek,2018-3-15,2018-3-15,2020-7-14,2020-7-14,https://patents.google.com/patent/US10710716B2/en,https://patentimages.storage.googleapis.com/90/e7/49/2b30345557d5eb/US10710716-20200714-D00000.png
US-9734684-B2,Perimeter monitoring using autonomous drones ,International Business Machines Corporation,"Donald L. Bryson, Eric V. Kline, Sarbajit K. Rakshit",2016-1-4,2016-1-4,2017-8-15,2017-8-15,https://patents.google.com/patent/US9734684B2/en,https://patentimages.storage.googleapis.com/98/cd/08/74a8912aecde1f/US09734684-20170815-D00000.png
KR-101853348-B1,Setting method of ground control point using drone ,한국해양과학기술원,"정의영, 박준용, 정의용",2016-8-22,2016-8-22,2018-4-30,2018-4-30,https://patents.google.com/patent/KR101853348B1/en,https://patentimages.storage.googleapis.com/36/82/fa/d2be2f73e53994/112016081578606-pat00001.png
US-2019009899-A1,Hybrid vtol fixed-wing drone having wing-tip propellers ,Autoflightx International Limited,Yu Tian,2017-7-6,2017-12-14,2019-1-10,,https://patents.google.com/patent/US20190009899A1/en,https://patentimages.storage.googleapis.com/0c/91/18/20df25bfaa882f/US20190009899A1-20190110-D00000.png
US-2018281933-A1,Double Folding Drone Arms with Landing Gear ,Qualcomm Incorporated,"Jonathan Paul Davis, Donald Hutson, Paul Ferrell, Clayton Dumstorff, Travis Van Schoyck, Ross Eric Kessler",2017-3-31,2017-7-17,2018-10-4,,https://patents.google.com/patent/US20180281933A1/en,https://patentimages.storage.googleapis.com/93/ad/6a/7727046cb1a4de/US20180281933A1-20181004-D00000.png
JP-6484910-B1,Drone safety flight system and guard frame for it ,"株式会社 ホーペック, 株式会社  ホーペック, 合同会社スカイブルー","幸生 濱口, 幸生 濱口, 克己 上野, 克己 上野",2018-3-7,2018-3-7,2019-3-20,2019-3-20,https://patents.google.com/patent/JP6484910B1/en,https://patentimages.storage.googleapis.com/9f/16/01/7aa2ec338978b3/0006484910-2.png
US-11573576-B2,"Method for controlling a drone, drone and system ",Goertek Inc.,"Xueqiang WANG, Mengmeng WANG, Lu Bai, Xiangdong Zhang",2019-3-13,2019-8-14,2023-2-7,2023-2-7,https://patents.google.com/patent/US11573576B2/en,https://patentimages.storage.googleapis.com/2b/04/2e/df2a8df6d8fc37/US11573576-20230207-D00000.png
US-10486788-B2,Surveillance drone including gas-filled container and propellers for aerial mobility ,Avigilon Corporation,"Kevin Piette, Pietro Russo, Bo Yang Yu",2017-4-21,2017-4-21,2019-11-26,2019-11-26,https://patents.google.com/patent/US10486788B2/en,https://patentimages.storage.googleapis.com/b4/e2/7f/a2f159e306576f/US10486788-20191126-D00000.png
US-2014254896-A1,"Unmanned drone, robot system for delivering mail, goods, humanoid security, crisis negotiation, mobile payments, smart humanoid mailbox and wearable personal exoskeleton heavy load flying machine ","Tiger T G Zhou, Dylan T X Zhou, Andrew H B Zhou","Tiger T G Zhou, Dylan T X Zhou, Andrew H B Zhou",2011-7-18,2014-5-23,2014-9-11,,https://patents.google.com/patent/US20140254896A1/en,https://patentimages.storage.googleapis.com/21/fe/e0/9666f19a2854de/US20140254896A1-20140911-D00000.png
JP-6829453-B2,"Drones, drone control methods, and drone control programs ",株式会社ナイルワークス,"千大 和氣, 千大 和氣, 洋 柳下, 洋 柳下",2018-7-25,2019-7-22,2021-2-10,2021-2-10,https://patents.google.com/patent/JP6829453B2/en,
US-2017038780-A1,Method of drone delivery using aircraft ,Gerald N. Fandetti,Gerald N. Fandetti,2015-8-4,2015-8-4,2017-2-9,,https://patents.google.com/patent/US20170038780A1/en,https://patentimages.storage.googleapis.com/85/3b/58/0cf9d39d16f7f1/US20170038780A1-20170209-D00000.png
KR-101690502-B1,System for tracking using drone ,(주)코아텍,김도현,2015-4-7,2015-4-7,2016-12-28,2016-12-28,https://patents.google.com/patent/KR101690502B1/en,https://patentimages.storage.googleapis.com/bc/2a/12/132f3ed17354cb/112015033750817-pat00001.png
JP-7338263-B2,Assisting flying drones in vehicle selection and approach for improved flight range ,トヨタ自動車株式会社,"ルウ，ホンシェン, バンサル，ガウラブ, ケニー，ジョン",2018-6-26,2019-6-24,2023-9-5,2023-9-5,https://patents.google.com/patent/JP7338263B2/en,https://patentimages.storage.googleapis.com/76/0e/d1/6f3ec2e37e9f15/0007338263000001.png
KR-101780479-B1,Air traffic control system for drones and method for thereof ,주식회사 블루젠,이종현,2015-11-27,2015-11-27,2017-10-10,2017-10-10,https://patents.google.com/patent/KR101780479B1/en,https://patentimages.storage.googleapis.com/97/48/10/9a52f4b71dab31/112015116234726-pat00001.png
US-2017121019-A1,Drone-type smart carwash robot ,Industrial Bank Of Korea,"Pilsoon Shin, Jongman KWON",2015-10-29,2015-10-29,2017-5-4,,https://patents.google.com/patent/US20170121019A1/en,https://patentimages.storage.googleapis.com/24/83/a1/a51859be897490/US20170121019A1-20170504-D00000.png
JP-6906756-B2,Drone for drug spraying ,株式会社ナイルワークス,"洋 柳下, 洋 柳下",2017-1-30,2018-1-27,2021-7-21,2021-7-21,https://patents.google.com/patent/JP6906756B2/en,https://patentimages.storage.googleapis.com/07/f2/be/e0c1a5b29fcc20/0006906756-2.png
TW-I589905-B,Orientation control method for drone ,博泰科技有限公司,廖子權,2016-9-8,2016-9-8,2017-7-1,2017-7-1,https://patents.google.com/patent/TWI589905B/en,
CN-108445760-A,The quadrotor drone fault tolerant control method of observer is estimated based on adaptive failure ,中南大学,"年晓红, 陈伟强",2018-3-14,2018-3-14,2018-8-24,,https://patents.google.com/patent/CN108445760A/en,
KR-101924011-B1,Fire supression system comprising reconnaissance drone and fire supression drone ,주식회사 마노,"한봉천, 민경진, 배정현",2018-1-22,2018-1-22,2018-11-30,2018-11-30,https://patents.google.com/patent/KR101924011B1/en,https://patentimages.storage.googleapis.com/ed/47/15/9af24fc1a69b12/112018007450010-pat00001.png
US-11332243-B1,Drone assemblies for providing shade ,"Keith Conn, Matthew Conn","Keith Conn, Matthew Conn",2017-8-10,2019-5-20,2022-5-17,2022-5-17,https://patents.google.com/patent/US11332243B1/en,https://patentimages.storage.googleapis.com/fd/80/2e/002e5cae3b530b/US11332243-20220517-D00000.png
KR-102084303-B1,Drone recharging system and dron station with the same ,주식회사 에스원,안종열,2018-1-17,2018-1-17,2020-3-3,2020-3-3,https://patents.google.com/patent/KR102084303B1/en,https://patentimages.storage.googleapis.com/59/07/63/1526a1fadc5531/112018005888305-pat00001.png
KR-102067358-B1,Drone attachable mission apparatus and system thereof ,변정태,변정태,2019-5-17,2019-5-17,2020-1-16,2020-1-16,https://patents.google.com/patent/KR102067358B1/en,https://patentimages.storage.googleapis.com/e5/7c/71/4ea8017db5753b/112019050697573-pat00001.png
KR-102010249-B1,Apparatus for collecting water to test using drones ,"(주)대현환경, 서병원",서병원,2019-5-8,2019-5-8,2019-8-13,2019-8-13,https://patents.google.com/patent/KR102010249B1/en,https://patentimages.storage.googleapis.com/16/44/a1/993324a56efdb7/112019046658351-pat00001.png
EP-3774535-B1,Autonomous package storage and retrieval system using a drone ,"Laitram, LLC","Bryant G. Ragan, Mark Costanzo, Matthew A. LIGNIERES",2018-4-12,2019-4-11,2023-9-13,2023-9-13,https://patents.google.com/patent/EP3774535B1/en,https://patentimages.storage.googleapis.com/4c/ac/a9/531c3b463a5a61/imgf0001.png
CN-110471441-A,A kind of quadrotor drone barrier-avoiding method based on laser acquisition ,南京理工大学,"沈子超, 王荣梅, 戚国庆",2019-8-12,2019-8-12,2019-11-19,,https://patents.google.com/patent/CN110471441A/en,
KR-102032623-B1,Catamaran shape radio control coastal garbage collection drone ,한국해양대학교 산학협력단,"박선호, 송성진, 김희찬, 권지우, 주익재, 임동규, 정홍선",2017-12-22,2017-12-22,2019-10-15,2019-10-15,https://patents.google.com/patent/KR102032623B1/en,https://patentimages.storage.googleapis.com/ea/21/85/20c10e6cf14a33/112017128015571-pat00001.png
